Frequency - Plot 0	Amplitude - Plot 0
291	1.87E-07
291	1.37E-07
292	1.69E-07
292	1.71E-07
293	1.87E-07
293	1.70E-07
294	1.87E-07
294	1.44E-07
295	1.40E-07
295	1.82E-07
296	1.66E-07
296	1.37E-07
297	1.45E-07
297	1.66E-07
298	1.75E-07
298	2.00E-07
299	2.09E-07
300	2.00E-07
300	1.95E-07
301	1.50E-07
301	1.87E-07
302	1.78E-07
302	2.07E-07
303	2.07E-07
303	1.63E-07
304	1.60E-07
304	2.33E-07
305	1.89E-07
305	1.86E-07
306	1.64E-07
306	1.45E-07
307	1.39E-07
307	1.65E-07
308	1.65E-07
308	1.32E-07
309	1.47E-07
309	1.65E-07
310	1.65E-07
310	1.56E-07
311	1.47E-07
311	9.92E-08
312	9.61E-08
312	1.35E-07
313	1.60E-07
313	1.88E-07
314	1.55E-07
314	1.37E-07
315	1.17E-07
315	1.43E-07
316	1.46E-07
316	1.43E-07
317	1.26E-07
317	1.26E-07
318	1.26E-07
318	1.24E-07
319	1.14E-07
319	5.52E-08
320	4.96E-08
321	7.41E-08
321	1.31E-07
322	9.26E-08
322	5.66E-08
323	4.72E-08
323	2.09E-08
324	4.62E-08
324	1.09E-07
325	1.04E-07
325	6.05E-08
326	5.82E-08
326	8.18E-08
327	5.60E-08
327	1.05E-07
328	8.47E-08
328	7.40E-08
329	8.96E-08
329	8.84E-08
330	8.88E-08
330	9.52E-08
331	1.00E-07
331	1.09E-07
332	1.04E-07
332	1.20E-07
333	1.51E-07
333	1.26E-07
334	1.17E-07
334	1.13E-07
335	1.03E-07
335	1.25E-07
336	1.13E-07
336	1.38E-07
337	1.10E-07
337	1.08E-07
338	1.11E-07
338	1.21E-07
339	1.16E-07
339	9.92E-08
340	1.01E-07
340	8.30E-08
341	7.27E-08
342	6.71E-08
342	7.12E-08
343	5.79E-08
343	7.44E-08
344	6.22E-08
344	6.37E-08
345	6.45E-08
345	6.13E-08
346	5.57E-08
346	6.13E-08
347	5.41E-08
347	4.34E-08
348	3.72E-08
348	3.34E-08
349	2.70E-08
349	2.09E-08
350	3.02E-08
350	3.65E-08
351	5.08E-08
351	7.24E-08
352	9.89E-08
352	1.35E-07
353	1.46E-07
353	1.79E-07
354	2.07E-07
354	2.22E-07
355	2.49E-07
355	2.99E-07
356	3.24E-07
356	3.78E-07
357	3.86E-07
357	4.32E-07
358	4.39E-07
358	4.61E-07
359	5.07E-07
359	5.36E-07
360	5.18E-07
360	5.16E-07
361	5.38E-07
361	5.67E-07
362	4.96E-07
362	4.91E-07
363	4.47E-07
364	3.44E-07
364	2.74E-07
365	1.82E-07
365	1.38E-07
366	1.65E-07
366	2.89E-07
367	4.70E-07
367	7.08E-07
368	9.20E-07
368	1.20E-06
369	1.55E-06
369	1.91E-06
370	2.33E-06
370	2.81E-06
371	3.25E-06
371	3.64E-06
372	4.24E-06
372	4.50E-06
373	5.02E-06
373	5.52E-06
374	6.37E-06
374	6.66E-06
375	7.24E-06
375	7.82E-06
376	8.77E-06
376	9.11E-06
377	9.97E-06
377	1.06E-05
378	1.16E-05
378	1.23E-05
379	1.34E-05
379	1.43E-05
380	1.55E-05
380	1.64E-05
381	1.74E-05
381	1.84E-05
382	1.91E-05
382	2.04E-05
383	2.07E-05
383	2.19E-05
384	2.22E-05
385	2.30E-05
385	2.30E-05
386	2.27E-05
386	2.21E-05
387	2.14E-05
387	2.00E-05
388	1.84E-05
388	1.69E-05
389	1.52E-05
389	1.43E-05
390	1.32E-05
390	1.21E-05
391	1.15E-05
391	1.10E-05
392	1.06E-05
