Frequency - Plot 0	Amplitude - Plot 0
501	-1.87084
502	-2.06276
503	-1.91203
504	-1.98608
505	-2.21675
506	-2.2085
507	-2.34285
508	-2.77252
509	-2.71856
510	-2.90191
511	-2.93907
512	-3.09815
513	3.1383
514	2.99972
515	2.99104
516	3.02898
517	2.99282
518	3.06539
519	3.10254
520	3.03959
521	3.10712
522	-3.13747
523	-3.09192
524	3.11258
525	3.08015
526	-3.0912
527	-3.09729
528	-3.10091
529	3.00479
530	3.06616
531	3.13913
532	3.06903
533	-3.11817
534	-3.04436
535	-3.01273
536	-3.01946
537	-3.07274
538	-3.00605
539	-3.02918
540	-3.02769
541	-3.06059
542	-3.0986
543	3.1044
544	-3.00302
545	-2.99667
546	3.13365
547	-3.13296
548	2.98139
549	2.95432
550	3.06541
551	2.99529
552	2.80736
553	2.87672
554	2.7544
555	2.87763
556	2.94317
557	3.08632
558	2.94942
559	2.96877
560	2.82905
561	3.01959
562	3.05618
563	2.92871
564	2.99388
565	2.92425
566	3.12404
567	3.01239
568	3.13364
569	-3.09193
570	-3.13717
571	3.11621
572	-2.88544
573	-2.9798
574	-2.86024
575	-2.92699
576	-2.98408
577	-2.90105
578	-2.85454
579	-2.95913
580	-3.10339
581	-3.00011
582	-3.07737
583	-3.10409
584	-2.84399
585	-2.73132
586	-2.68368
587	-2.84938
588	-2.86902
589	-2.69756
590	-2.69411
591	-2.53464
592	-2.62581
593	-2.98416
594	-2.8205
595	-2.62918
596	-2.52236
597	-2.57884
598	-2.58026
599	-2.83952
600	-2.87483
601	-2.48507
602	-2.81322
603	-3.05999
604	-2.7621
605	-2.75835
606	-2.71531
607	-2.38908
608	-2.68234
609	-2.52269
610	-2.95509
611	-2.76258
612	-2.76093
613	-2.71702
614	-2.71111
615	-2.68444
616	-2.9723
617	-2.77741
618	-2.72419
619	-2.97248
620	-2.88002
621	-2.83882
622	-2.48862
623	-2.81402
624	-2.38156
625	-2.97762
626	-3.05967
627	-2.98496
628	-2.52778
629	-2.34232
630	-2.35675
631	2.37291
632	2.18404
633	2.46763
634	2.85263
635	2.52715
636	3.05455
637	2.31823
638	2.54636
639	2.56118
640	2.53394
641	2.67072
642	2.83356
643	2.99159
644	2.70955
645	2.8965
646	2.98861
647	3.08541
648	2.80024
649	2.83217
650	3.0621
651	-3.13722
652	-2.98081
653	-2.66155
654	-2.97176
655	-3.05169
656	-2.89389
657	-2.69433
658	-2.65537
659	-2.46405
660	-2.51604
661	-2.19522
662	-2.16439
663	-1.98005
664	-1.68595
665	-1.53277
666	-1.23245
667	-1.01626
668	-1.06764
669	-0.925502
670	-0.55771
671	-0.293641
672	-0.124172
673	0.0677133
674	-0.102006
675	0.0558141
