Frequency - Plot 0	Amplitude - Plot 0
342	6.12E-08
342	5.00E-08
343	5.80E-08
343	6.08E-08
344	6.19E-08
344	9.02E-08
345	6.62E-08
345	7.40E-08
346	8.22E-08
346	9.73E-08
347	8.88E-08
347	1.09E-07
348	1.43E-07
348	1.45E-07
349	1.46E-07
349	2.08E-07
350	2.23E-07
350	2.11E-07
351	2.61E-07
351	3.64E-07
352	4.45E-07
352	4.86E-07
353	5.64E-07
353	5.75E-07
354	6.19E-07
354	7.22E-07
355	7.53E-07
355	8.39E-07
356	8.73E-07
356	9.31E-07
357	9.73E-07
357	9.80E-07
358	1.11E-06
358	1.24E-06
359	1.30E-06
359	1.33E-06
360	1.53E-06
360	1.68E-06
361	1.60E-06
361	1.63E-06
362	1.72E-06
362	1.79E-06
363	1.76E-06
364	1.80E-06
364	1.70E-06
365	1.66E-06
365	1.52E-06
366	1.48E-06
366	1.39E-06
367	1.38E-06
367	1.37E-06
368	1.41E-06
368	1.53E-06
369	1.71E-06
369	2.01E-06
370	2.50E-06
370	2.86E-06
371	3.37E-06
371	4.09E-06
372	4.51E-06
372	5.00E-06
373	5.56E-06
373	6.28E-06
374	6.85E-06
374	7.59E-06
375	8.34E-06
375	9.03E-06
376	9.53E-06
376	1.02E-05
377	1.08E-05
377	1.15E-05
378	1.22E-05
378	1.27E-05
379	1.37E-05
379	1.41E-05
380	1.51E-05
380	1.53E-05
381	1.61E-05
381	1.70E-05
382	1.77E-05
382	1.76E-05
383	1.79E-05
383	1.80E-05
384	1.78E-05
385	1.75E-05
385	1.75E-05
386	1.71E-05
386	1.62E-05
387	1.54E-05
387	1.41E-05
388	1.30E-05
388	1.16E-05
389	9.96E-06
389	8.50E-06
390	7.36E-06
390	6.35E-06
391	6.01E-06
391	5.33E-06
392	4.97E-06
392	4.67E-06
393	4.12E-06
393	3.77E-06
394	3.69E-06
394	3.28E-06
395	3.03E-06
395	2.82E-06
396	2.37E-06
396	2.25E-06
397	1.98E-06
397	1.91E-06
398	1.76E-06
398	1.94E-06
399	2.15E-06
399	3.43E-06
400	1.81E-05
400	6.87E-06
401	3.33E-06
401	2.40E-06
402	1.91E-06
402	1.69E-06
403	1.43E-06
403	1.14E-06
404	1.02E-06
404	9.61E-07
405	9.15E-07
406	9.22E-07
406	8.66E-07
407	9.51E-07
407	8.65E-07
408	8.66E-07
408	7.77E-07
409	7.67E-07
409	7.06E-07
410	7.06E-07
410	6.65E-07
411	6.19E-07
411	5.76E-07
412	5.55E-07
412	5.04E-07
413	5.28E-07
413	5.03E-07
414	4.87E-07
414	4.76E-07
