Frequency - Plot 0	Amplitude - Plot 0
395	3.07823
396	-3.13359
397	-2.97213
398	-3.04161
399	-3.12803
400	-2.96121
401	-2.82734
402	-2.87958
403	-2.71763
404	-2.53538
405	-2.54932
406	-2.51933
407	-2.32479
408	-2.24741
409	-2.23189
410	-2.04197
411	-1.94306
412	-1.94529
413	-1.90089
414	-1.74276
415	-1.70874
416	-1.66589
417	-1.56182
418	-1.51454
419	-1.52946
420	-1.46069
421	-1.39249
422	-1.39826
423	-1.34272
424	-1.29256
425	-1.21492
426	-1.23734
427	-1.2111
428	-1.13093
429	-1.14406
430	-1.17011
431	-1.08567
432	-1.06029
433	-1.0631
434	-1.08268
435	-1.08029
436	-1.14959
437	-1.0314
438	-1.05229
439	-0.676945
440	-0.915597
441	-0.892556
442	-0.846016
443	-0.929706
444	-0.789819
445	-0.695232
446	-0.68079
447	-0.5396
448	-0.588335
449	-0.460022
450	-0.548318
451	-0.584417
452	-0.544771
453	-0.546026
454	-0.436689
455	-0.440646
456	-0.725147
457	-0.576623
458	-0.726534
459	-0.609548
460	-0.582527
461	-0.61034
462	-0.692799
463	-0.776511
464	-0.927313
465	-0.711444
466	-0.723377
467	-0.57168
468	-0.70192
469	-0.641429
470	-0.696945
471	-0.803711
472	-0.795944
473	-0.832901
474	-0.746637
475	-0.570309
476	-0.726264
477	-0.295968
478	-0.424577
479	-0.451191
480	-0.485232
481	-0.496148
482	-0.311476
483	-0.377512
484	-0.205318
485	-0.318878
486	-0.474845
487	-0.428067
488	-0.762121
489	0.0474927
490	-0.047374
491	-0.106349
492	-0.0685303
493	-0.134024
494	-0.108946
495	0.174603
496	0.0892334
497	-0.149532
498	-0.55194
499	-0.167862
500	0.272919
501	-0.0178348
502	0.132403
503	-0.133832
504	-0.00586217
505	0.0565825
506	0.0487233
507	-0.0459983
508	0.0106002
509	0.219176
510	-0.534867
511	-0.35082
512	-0.155719
513	-0.45723
514	-0.674716
515	-0.698664
516	-0.524183
517	-0.517655
518	-1.13912
519	-1.09424
520	-1.59275
521	-1.46174
522	-1.54276
523	-1.88216
524	-1.57276
525	-1.99232
526	-2.12432
527	-2.32174
528	-2.13413
529	-2.33291
530	-2.35985
531	-2.12564
532	-2.27128
533	-2.36808
534	-2.65963
535	-2.48838
536	-2.44045
537	-2.48462
538	-2.40631
539	-2.38856
540	-2.48064
541	-2.58788
542	-2.68514
543	-2.7094
544	-2.58472
545	-2.67825
546	-2.65254
547	-2.68861
548	-2.56437
549	-2.68727
550	-2.97605
551	-3.02022
552	-2.96667
553	-2.81647
554	-2.91598
555	-2.90086
556	3.14097
557	3.07875
558	2.94658
559	3.0169
560	3.05889
561	2.98303
562	2.99756
563	2.87716
564	2.90619
565	2.96644
566	2.92078
567	3.00778
568	3.00929
569	2.94796
570	3.02908
571	2.94041
572	3.1344
573	3.03766
574	3.06157
575	3.12572
576	-3.10925
577	-3.07422
578	-3.07229
579	-3.01754
580	3.10036
581	-3.00636
582	-3.00493
583	-2.88069
584	-3.01445
585	-2.86551
586	-2.90016
587	-2.97948
588	-3.03444
589	-2.97118
590	-2.92108
591	-2.77531
592	-2.93412
593	-2.92971
594	-2.98129
595	-2.8583
596	-2.7588
597	-2.91568
598	-2.85352
599	-2.82329
600	-2.7314
601	-2.78834
602	-2.75124
603	-2.62364
604	-2.53539
605	-2.49513
606	-2.50855
607	-2.4368
608	-2.39224
609	-2.36046
610	-2.40033
611	-2.15061
612	-2.2278
613	-2.2172
614	-2.26758
615	-2.15854
616	-2.33444
617	-2.12467
618	-2.23362
619	-2.2383
620	-2.33535
621	-2.62718
622	-2.45966
623	-2.45255
624	-3.01856
625	-2.77185
626	-2.96055
627	-3.11015
628	2.81853
629	2.98856
630	2.91125
631	2.61426
632	2.90385
633	2.89694
634	2.33532
635	2.53408
636	2.67883
637	2.65932
638	2.60885
639	2.70834
640	2.87902
641	3.02062
642	3.04686
643	3.01115
644	3.09821
645	3.13632
646	3.03449
647	-3.11833
648	3.0494
649	3.0644
650	3.1379
651	-3.0184
652	-2.96775
653	-2.96492
654	-2.90338
655	-2.77082
656	-2.72999
657	-2.61735
658	-2.53259
659	-2.45634
660	-2.35572
661	-2.18067
662	-2.06648
663	-2.02654
664	-1.76683
665	-1.77956
666	-1.66031
667	-1.15314
668	-0.6233
669	-0.459054
670	0.00176768
671	0.676118
672	0.752925
673	0.736496
674	1.07232
675	1.2849
676	1.51429
677	1.69048
678	1.93141
679	2.12527
680	2.35369
681	2.33107
682	2.18619
683	2.48849
684	2.62377
685	2.58658
686	2.8608
687	2.82805
688	2.98138
689	3.10507
690	3.129
691	-3.06099
692	-3.00825
693	-2.96839
694	-2.91971
695	-2.83835
696	-2.83515
697	-2.79679
698	-2.83706
699	-2.84358
700	-2.82873
701	-2.83916
702	-2.77023
703	-2.86208
704	-2.83601
705	-2.85155
706	-2.87515
707	-2.88142
708	-2.87674
709	-2.87035
710	-2.88815
711	-2.87063
712	-2.88769
713	-2.8691
714	-2.83261
715	-2.79513
716	-2.71932
717	-2.56918
718	-2.34892
719	-2.14519
720	-1.94113
721	-1.79857
722	-1.68695
723	-1.60735
724	-1.53905
725	-1.50075
726	-1.4709
727	-1.48641
728	-1.47758
729	-1.48513
730	-1.49226
731	-1.53879
732	-1.54401
733	-1.56675
734	-1.57656
735	-1.61222
736	-1.64092
737	-1.65587
738	-1.7065
739	-1.70162
740	-1.67639
741	-1.70541
742	-1.75858
743	-1.74586
744	-1.77121
745	-1.76447
746	-1.78368
747	-1.76527
748	-1.7323
749	-1.72214
750	-1.69145
751	-1.66413
752	-1.65959
753	-1.61989
754	-1.58715
755	-1.56995
756	-1.51878
757	-1.49605
758	-1.46837
759	-1.45739
760	-1.47318
761	-1.51327
762	-1.56841
763	-1.64091
764	-1.68574
765	-1.69645
766	-1.72924
767	-1.77024
768	-1.78599
769	-1.8039
770	-1.82748
771	-1.87758
772	-1.84742
773	-1.9285
774	-1.93358
775	-2.06143
776	-2.144
777	-2.34406
778	-2.54982
779	-2.82661
780	3.08844
781	2.69824
782	-0.724119
783	-0.778945
784	-0.889992
785	-0.934478
786	-0.958778
787	-1.01353
788	-0.947873
789	-0.991709
790	-1.15475
791	-1.2652
792	-1.15522
793	-1.23022
794	-1.33111
795	-1.24822
796	-1.20186
797	-1.17484
798	-1.20678
799	-1.0984
800	-1.13026
801	-1.18421
802	-1.08342
803	-1.06846
804	-1.20145
805	-1.16102
806	-1.18548
807	-1.23684
808	-1.30819
809	-1.26691
810	-1.29556
811	-1.28343
812	-1.38764
813	-1.32062
814	-1.31059
815	-1.40505
816	-1.48954
817	-1.58168
818	-1.43996
819	-1.51257
820	-1.55931
821	-1.63076
822	-1.61996
823	-1.7895
824	-1.69772
825	-1.79005
826	-1.84234
827	-1.92275
828	-1.88268
829	-1.96144
830	-1.8986
831	-2.08672
832	-2.16208
833	-2.16007
834	-2.2348
835	-2.2872
836	-2.34184
837	-2.42498
838	-2.42038
839	-2.47128
840	-2.51979
841	-2.46483
842	-2.53089
843	-2.4962
844	-2.57172
845	-2.60648
846	-2.59419
847	-2.69419
848	-2.61213
849	-2.56042
850	-2.61458
851	-2.55978
852	-2.69569
853	-2.60123
854	-2.63605
855	-2.59404
856	-2.62986
857	-2.65849
858	-2.70385
859	-2.73258
860	-2.84889
861	-2.78212
862	-2.71056
863	-2.80252
864	-2.70813
865	-2.76977
866	-2.72277
867	-2.7494
868	-2.65195
869	-2.71651
870	-2.71535
871	-2.66964
872	-2.67783
873	-2.75908
874	-2.81212
875	-2.76163
876	-2.70243
877	-2.78696
878	-2.81822
879	-2.76597
880	-2.78783
881	-2.78199
882	-2.80924
883	-2.83515
884	-2.80017
885	-2.76906
886	-2.8697
887	-2.83628
888	-2.84653
889	-2.87022
890	-2.87673
891	-2.83458
892	-2.78399
893	-2.91801
894	-2.91172
895	-2.86448
896	-2.85854
897	-2.88762
898	-2.87309
899	-2.89733
900	-2.8444
901	-2.85446
902	-2.85927
903	-2.89714
904	-2.84262
905	-2.85284
906	-2.83702
907	-2.84889
908	-2.79336
909	-2.89294
910	-2.87962
911	-2.83521
912	-2.82868
913	-2.83521
914	-2.82427
915	-2.80166
916	-2.825
917	-2.87318
918	-2.80508
919	-2.79881
920	-2.79157
921	-2.7444
922	-2.75797
923	-2.78964
924	-2.76478
925	-2.76135
926	-2.71894
927	-2.75174
928	-2.71596
929	-2.7068
930	-2.73903
931	-2.70785
932	-2.67001
933	-2.70177
934	-2.68781
935	-2.65895
936	-2.62351
937	-2.66289
938	-2.64125
939	-2.61229
940	-2.68937
941	-2.6478
942	-2.62479
943	-2.63565
944	-2.64147
945	-2.66007
946	-2.65903
947	-2.69125
948	-2.70809
949	-2.63143
950	-2.65709
951	-2.68274
952	-2.61781
953	-2.65146
954	-2.67012
955	-2.64426
956	-2.61542
957	-2.59528
958	-2.63059
959	-2.61851
960	-2.62302
961	-2.6933
962	-2.64717
963	-2.63864
964	-2.69302
965	-2.66919
966	-2.67537
967	-2.71309
968	-2.73498
969	-2.73454
970	-2.71595
971	-2.74279
972	-2.73411
973	-2.74204
974	-2.79363
975	-2.81053
976	-2.83989
977	-2.77128
978	-2.83674
979	-2.80552
980	-2.84794
981	-2.89817
982	-2.88619
983	-2.89373
984	-2.92463
985	-2.91684
986	-2.92378
987	-2.92421
988	-2.94438
989	-2.96503
990	-2.96284
991	-2.98213
992	-2.99153
993	-2.93501
994	-2.96505
995	-3.00388
996	-2.97751
997	-2.99483
998	-2.99836
999	-2.97954
1000	-2.97687
1001	-2.97942
1002	-2.97785
1003	-2.96777
1004	-2.99644
1005	-2.98829
1006	-2.94215
1007	-2.93808
1008	-2.94283
1009	-2.94976
1010	-2.93782
1011	-2.95634
1012	-2.95203
1013	-2.93508
1014	-2.92393
1015	-2.91719
1016	-2.88392
1017	-2.88611
1018	-2.90658
1019	-2.90183
1020	-2.89124
1021	-2.87316
1022	-2.88419
1023	-2.87254
1024	-2.85558
1025	-2.85129
1026	-2.83862
1027	-2.83705
1028	-2.83252
1029	-2.83044
1030	-2.79595
1031	-2.79374
1032	-2.81895
1033	-2.78174
1034	-2.80731
1035	-2.79738
1036	-2.78069
1037	-2.76309
1038	-2.8046
1039	-2.76448
1040	-2.77489
1041	-2.78543
1042	-2.75632
1043	-2.77498
1044	-2.74828
1045	-2.71432
1046	-2.78556
1047	-2.7194
1048	-2.74939
1049	-2.79258
1050	-2.7621
1051	-2.75448
1052	-2.7793
1053	-2.7238
1054	-2.73716
1055	-2.77726
